facility__i_d,facility__name,address,city/_town,state,z_i_p__code,county/_parish,telephone__number,condition,measure__i_d,measure__name,score,sample,footnote,start__date,end__date
27003F,VA MONTANA HEALTHCARE SYSTEM,3687 VETERANS DRIVE,FORT HARRISON,MT,59636,LEWIS AND CLARK,(406) 447-7900,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,69,77,"2, 20",01/01/2022,12/31/2022
27003F,VA MONTANA HEALTHCARE SYSTEM,3687 VETERANS DRIVE,FORT HARRISON,MT,59636,LEWIS AND CLARK,(406) 447-7900,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,73,104,"2, 20",01/01/2022,12/31/2022
27003F,VA MONTANA HEALTHCARE SYSTEM,3687 VETERANS DRIVE,FORT HARRISON,MT,59636,LEWIS AND CLARK,(406) 447-7900,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,66,71,"2, 20",01/01/2022,12/31/2022
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA,NE,68105,DOUGLAS,(402) 346-8800,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.21,1957,20,01/01/2022,12/31/2022
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA,NE,68105,DOUGLAS,(402) 346-8800,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.22,1957,20,01/01/2022,12/31/2022
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA,NE,68105,DOUGLAS,(402) 346-8800,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,51,103,"2, 20",01/01/2022,12/31/2022
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA,NE,68105,DOUGLAS,(402) 346-8800,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,69,95,"2, 20",01/01/2022,12/31/2022
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA,NE,68105,DOUGLAS,(402) 346-8800,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,73,130,"2, 20",01/01/2022,12/31/2022
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA,NE,68105,DOUGLAS,(402) 346-8800,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,71,110,"2, 20",01/01/2022,12/31/2022
29002F,VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,WASHOE,(775) 328-1263,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,2950,20,01/01/2022,12/31/2022
29002F,VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,WASHOE,(775) 328-1263,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.03,2950,20,01/01/2022,12/31/2022
29002F,VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,WASHOE,(775) 328-1263,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,82,87,"2, 20",01/01/2022,12/31/2022
29002F,VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,WASHOE,(775) 328-1263,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,70,91,"2, 20",01/01/2022,12/31/2022
29002F,VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,WASHOE,(775) 328-1263,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,69,134,"2, 20",01/01/2022,12/31/2022
29002F,VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,WASHOE,(775) 328-1263,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,65,88,"2, 20",01/01/2022,12/31/2022
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,(702) 791-9024,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.19,5762,20,01/01/2022,12/31/2022
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,(702) 791-9024,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.21,5762,20,01/01/2022,12/31/2022
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,(702) 791-9024,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,95,112,"2, 20",01/01/2022,12/31/2022
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,(702) 791-9024,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,86,162,"2, 20",01/01/2022,12/31/2022
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,(702) 791-9024,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,95,213,"2, 20",01/01/2022,12/31/2022
29004F,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 NORTH PECOS ROAD,N. LAS VEGAS,NV,89086,CLARK,(702) 791-9024,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,97,143,"2, 20",01/01/2022,12/31/2022
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,(973) 676-1000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,1157,20,01/01/2022,12/31/2022
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,(973) 676-1000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,1157,20,01/01/2022,12/31/2022
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,(973) 676-1000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,74,99,"2, 20",01/01/2022,12/31/2022
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,(973) 676-1000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,80,92,"2, 20",01/01/2022,12/31/2022
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,(973) 676-1000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,49,154,"2, 20",01/01/2022,12/31/2022
31001F,VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE,NJ,7018,ESSEX,(973) 676-1000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,48,58,"2, 20",01/01/2022,12/31/2022
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,(505) 256-2889,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.03,7167,20,01/01/2022,12/31/2022
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,(505) 256-2889,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.2,7167,20,01/01/2022,12/31/2022
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,(505) 256-2889,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,26,178,"2, 20",01/01/2022,12/31/2022
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,(505) 256-2889,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,40,135,"2, 20",01/01/2022,12/31/2022
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,(505) 256-2889,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,25,198,"2, 20",01/01/2022,12/31/2022
32005F,VA NEW MEXICO HEALTHCARE SYSTEM,1501 SAN PEDRO DRIVE SE,ALBUQUERQUE,NM,87108,BERNALILLO,(505) 256-2889,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,15,93,"2, 20",01/01/2022,12/31/2022
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,(518) 626-5000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.13,2681,20,01/01/2022,12/31/2022
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,(518) 626-5000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,2681,20,01/01/2022,12/31/2022
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,(518) 626-5000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,53,107,"2, 20",01/01/2022,12/31/2022
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,(518) 626-5000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,73,75,"2, 20",01/01/2022,12/31/2022
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,(518) 626-5000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,48,130,"2, 20",01/01/2022,12/31/2022
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,(518) 626-5000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,43,84,"2, 20",01/01/2022,12/31/2022
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,(607) 664-4000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,5,01/01/2022,12/31/2022
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,(607) 664-4000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,5,01/01/2022,12/31/2022
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,(607) 664-4000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,78,72,"2, 20",01/01/2022,12/31/2022
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,(607) 664-4000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,95,60,"2, 20",01/01/2022,12/31/2022
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,(607) 664-4000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,64,83,"2, 20",01/01/2022,12/31/2022
33011F,BATH VA MEDICAL CENTER,76 VETERANS AVE.,BATH,NY,14810,STEUBEN,(607) 664-4000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,54,57,"2, 20",01/01/2022,12/31/2022
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,(716) 862-3611,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.89,3153,20,01/01/2022,12/31/2022
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,(716) 862-3611,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,3.13,3153,20,01/01/2022,12/31/2022
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,(716) 862-3611,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,59,106,"2, 20",01/01/2022,12/31/2022
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,(716) 862-3611,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,72,95,"2, 20",01/01/2022,12/31/2022
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,(716) 862-3611,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,69,136,"2, 20",01/01/2022,12/31/2022
33012F,UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM),3495 BAILEY AVENUE,BUFFALO,NY,14215,ERIE,(716) 862-3611,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,66,92,"2, 20",01/01/2022,12/31/2022
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,(914) 737-4400,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,3282,20,01/01/2022,12/31/2022
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,(914) 737-4400,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.07,3282,20,01/01/2022,12/31/2022
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,(914) 737-4400,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,85,109,"2, 20",01/01/2022,12/31/2022
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,(914) 737-4400,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,94,159,"2, 20",01/01/2022,12/31/2022
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,(914) 737-4400,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,67,153,"2, 20",01/01/2022,12/31/2022
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,(914) 737-4400,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,83,122,"2, 20",01/01/2022,12/31/2022
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,4963,20,01/01/2022,12/31/2022
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.26,4963,20,01/01/2022,12/31/2022
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,94,70,"2, 20",01/01/2022,12/31/2022
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,94,131,"2, 20",01/01/2022,12/31/2022
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,96,116,"2, 20",01/01/2022,12/31/2022
33016F,BRONX VA MEDICAL CENTER,130 WEST KINGSBRIDGE ROAD,BRONX,NY,10468,BRONX,(718) 584-9000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,99,94,"2, 20",01/01/2022,12/31/2022
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,(212) 686-7500,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.87,5767,20,01/01/2022,12/31/2022
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,(212) 686-7500,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5767,20,01/01/2022,12/31/2022
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,(212) 686-7500,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,66,98,"2, 20",01/01/2022,12/31/2022
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,(212) 686-7500,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,77,115,"2, 20",01/01/2022,12/31/2022
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,(212) 686-7500,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,67,117,"2, 20",01/01/2022,12/31/2022
33017F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.,423 EAST 23RD STREET,NEW YORK,NY,10010,NEW YORK,(212) 686-7500,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,88,100,"2, 20",01/01/2022,12/31/2022
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,(516) 261-4400,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.03,6060,20,01/01/2022,12/31/2022
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,(516) 261-4400,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.03,6060,20,01/01/2022,12/31/2022
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,(516) 261-4400,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,81,135,"2, 20",01/01/2022,12/31/2022
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,(516) 261-4400,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,92,124,"2, 20",01/01/2022,12/31/2022
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,(516) 261-4400,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,58,204,"2, 20",01/01/2022,12/31/2022
33019F,NORTHPORT VA MEDICAL CENTER,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,SUFFOLK,(516) 261-4400,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,83,92,"2, 20",01/01/2022,12/31/2022
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
33020F,VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN,800 POLY PLACE,BROOKLYN,NY,11209,KINGS,(718) 836-6600,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,Not Available,Not Available,"5, 24",01/01/2022,12/31/2022
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.08,3352,20,01/01/2022,12/31/2022
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.38,3352,20,01/01/2022,12/31/2022
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,38,95,"2, 20",01/01/2022,12/31/2022
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,77,77,"2, 20",01/01/2022,12/31/2022
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,59,134,"2, 20",01/01/2022,12/31/2022
33024F,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,70,113,"2, 20",01/01/2022,12/31/2022
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,(919) 286-0411,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.01,9237,20,01/01/2022,12/31/2022
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,(919) 286-0411,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.02,9237,20,01/01/2022,12/31/2022
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,(919) 286-0411,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,32,148,"2, 20",01/01/2022,12/31/2022
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,(919) 286-0411,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,97,127,"2, 20",01/01/2022,12/31/2022
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,(919) 286-0411,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,47,182,"2, 20",01/01/2022,12/31/2022
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,(919) 286-0411,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,89,155,"2, 20",01/01/2022,12/31/2022
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,(910) 488-2120,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.2,5551,20,01/01/2022,12/31/2022
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,(910) 488-2120,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5551,20,01/01/2022,12/31/2022
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,(910) 488-2120,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,79,100,"2, 20",01/01/2022,12/31/2022
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,(910) 488-2120,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,83,156,"2, 20",01/01/2022,12/31/2022
34013F,FAYETTEVILLE NC VA MEDICAL CENTER,2300 RAMSEY STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,(910) 488-2120,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,55,187,"2, 20",01/01/2022,12/31/2022
