facility__i_d,facility__name,address,city/_town,state,z_i_p__code,county/_parish,telephone__number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_(lowest)_to_10_(highest),patients'_rating_of_the_facility_linear_mean_score,patients_who_reported__y_e_s_they_would__d_e_f_i_n_i_t_e_l_y_recommend_the_facility_to_family_or_friends,patients_who_reported__p_r_o_b_a_b_l_y__y_e_s_they_would_recommend_the_facility_to_family_or_friends,"patients_who_reported__n_o,_they_would_not_recommend_the_facility_to_family_or_friends",patients_recommending_the_facility_linear_mean_score,footnote,number_of__sampled__patients,number_of__completed__surveys,survey__response__rate__percent,start__date,end__date
11C0001085,NORTHWEST GEORGIA ORTHOPAEDIC SURGERY CENTER LLC,2550 WINDY HILL RD SOUTHEAST SUITE 218,MARIETTA,GA,30067,,(770) 953-8058,98.0,2.0,0.0,99.0,91.0,7.0,2.0,95.0,88.0,9.0,3.0,94.0,86.0,11.0,3.0,94.0,,1241.0,273.0,22.0,01/01/2023,12/31/2023
11C0001177,EAST WEST SURGERY CENTER LP,2041 MESA VALLEY WAY SUITE 125,AUSTELL,GA,30106,,(678) 309-8100,97.0,3.0,0.0,98.0,90.0,8.0,2.0,94.0,88.0,10.0,2.0,94.0,86.0,12.0,2.0,95.0,,1133.0,295.0,26.0,01/01/2023,12/31/2023
11C0001182,ROSWELL SURGERY CENTER LLC,1285 HEMBREE RD SUITE 200C,ROSWELL,GA,30076,,(770) 772-5520,99.0,1.0,0.0,100.0,95.0,4.0,1.0,97.0,96.0,3.0,1.0,98.0,93.0,6.0,1.0,97.0,,1224.0,346.0,28.0,01/01/2023,12/31/2023
11C0001192,LAWRENCEVILLE SURGERY CENTER LLC,758 OLD NORCROSS RD SUITE 125,LAWRENCEVILLE,GA,30046,,(678) 987-0820,99.0,1.0,0.0,99.0,94.0,5.0,1.0,96.0,94.0,5.0,1.0,97.0,92.0,7.0,1.0,97.0,,1254.0,334.0,27.0,01/01/2023,12/31/2023
11C0001234,ORTHOPAEDIC SOUTH SURGICAL CENTER,6645 LAKE DR,MORROW,GA,30260,,(678) 422-4230,98.0,2.0,0.0,99.0,93.0,5.0,2.0,96.0,95.0,3.0,2.0,96.0,91.0,6.0,3.0,96.0,,1732.0,451.0,26.0,01/01/2023,12/31/2023
11C0001245,ENDSOCOPY CENTER OF MIDDLE GEORGIA LLC,610 THIRD ST,MACON,GA,31201,,(478) 464-2600,,,,,,,,,,,,,,,,,4,,,,,
11C0001257,OPTIMUM SPINE CENTER LLC,"5555 PEACHTREE DUNWOODY ROAD, SUITE G99",ATLANTA,GA,30342,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
11C0001258,THOMAS EYE SURGERY CENTER LLC,5995 BARFIELD RD,SANDY SPRINGS,GA,30328,,(678) 781-7388,93.0,6.0,1.0,96.0,85.0,12.0,3.0,91.0,80.0,15.0,5.0,92.0,80.0,15.0,5.0,91.0,,2222.0,445.0,20.0,01/01/2023,12/31/2023
11C0001279,SURGICAL CENTER FOR UROLOGY LLC,290 COUNTRY CLUB DR SUITE 240,STOCKBRIDGE,GA,30281,,(678) 565-1806,98.0,1.0,1.0,99.0,89.0,8.0,3.0,93.0,92.0,7.0,1.0,96.0,91.0,8.0,1.0,96.0,,1623.0,346.0,22.0,01/01/2023,12/31/2023
11C0001368,NORTH COLUMBUS SURGERY CENTER LLC,7351 OLD MOON RD,COLUMBUS,GA,31909,,(706) 653-7000,98.0,2.0,0.0,99.0,93.0,6.0,1.0,97.0,79.0,19.0,2.0,94.0,86.0,13.0,1.0,95.0,2,2438.0,414.0,17.0,01/01/2023,12/31/2023
11C0001370,GEORGIA SPINE SURGERY CENTER LLC DBA GNS SURGERY CENTER,1061 DOWDY RD SUITE 103,ATHENS,GA,30606,,(706) 543-9222,99.0,1.0,0.0,100.0,93.0,6.0,1.0,96.0,99.0,1.0,0.0,98.0,97.0,3.0,0.0,99.0,,366.0,129.0,35.0,01/01/2023,12/31/2023
11C0001383,HUGHSTON SURGICAL CENTER LLC,6262 VETERANS PKWY UNIT. B,COLUMBUS,GA,31909,,(706) 494-3434,96.0,3.0,1.0,98.0,91.0,8.0,1.0,95.0,92.0,8.0,0.0,97.0,93.0,5.0,2.0,97.0,,1199.0,371.0,31.0,01/01/2023,12/31/2023
11C0001460,RESURGENS EAST SURGERY CENTER LLC,3241 IRIS DR SUITE 100,COVINGTON,GA,30016,,(678) 712-7624,99.0,1.0,0.0,99.0,94.0,5.0,1.0,97.0,95.0,3.0,2.0,97.0,90.0,9.0,1.0,96.0,,1171.0,272.0,23.0,01/01/2023,12/31/2023
11C0001472,RESURGENS FAYETTE SURGERY CENTER LLC,1336 HWY 54 WEST BUILDING 400 SUITE A,FAYETTEVILLE,GA,30214,,(678) 251-0200,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,96.0,4.0,0.0,98.0,92.0,6.0,2.0,96.0,,1352.0,420.0,31.0,01/01/2023,12/31/2023
11C0001508,REGENERATIVE ORTHOPAEDICS SURGERY CENTER LLC,135 NORTH PARK PL SUITE 100,STOCKBRIDGE,GA,30281,,(470) 615-7646,,,,,,,,,,,,,,,,,4,,,,,
11C0001564,BRASELTON ASC LLC,1524 RIVER PLACE SUITE 100,BRASELTON,GA,30517,,(770) 848-1730,,,,,,,,,,,,,,,,,4,,,,,
12C0001012,KAISER PERMANENTE HONOLULU CLINIC ASC,1010 PENSACOLA ST,HONOLULU,HI,96814,,(808) 597-2611,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,89.0,9.0,2.0,96.0,88.0,10.0,2.0,95.0,,2627.0,939.0,36.0,01/01/2023,12/31/2023
12C0001023,MINIMALLY INVASIVE SURGERY HAWAII,1401 SOUTH BERETANIA ST SUITE 600,HONOLULU,HI,96814,,(808) 356-5658,99.0,1.0,0.0,100.0,90.0,9.0,1.0,94.0,97.0,3.0,0.0,98.0,92.0,8.0,0.0,97.0,,808.0,320.0,40.0,01/01/2023,12/31/2023
12C0001100,KAISER WAILUKU CLINIC ASC,80 MAHALANI ST,WAILUKU,HI,96793,,(808) 243-6000,98.0,2.0,0.0,99.0,95.0,5.0,0.0,98.0,90.0,9.0,1.0,95.0,88.0,11.0,1.0,95.0,,1475.0,451.0,31.0,01/01/2023,12/31/2023
13C0001037,KOOTENAI OUTPATIENT SURGERY,707 WEST IRONWOOD DR,COEUR D ALENE,ID,83814,,(308) 625-6428,99.0,1.0,0.0,99.0,93.0,6.0,1.0,96.0,91.0,8.0,1.0,95.0,86.0,13.0,1.0,95.0,,1773.0,507.0,29.0,01/01/2023,12/31/2023
13C0001064,IDAHO PHYSICAL MEDICINE AND REHABILITATION PA,3551 EAST OVERLAND RD,MERIDIAN,ID,83642,,(208) 287-6558,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,89.0,9.0,2.0,95.0,90.0,6.0,4.0,95.0,,1092.0,282.0,26.0,01/01/2023,12/31/2023
14C0001030,RIVER NORTH SAME DAY SURGERY LLC,1 EAST ERIE ST SUITE 300,CHICAGO,IL,60611,,(312) 649-9706,,,,,,,,,,,,,,,,,4,,,,,
14C0001041,NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,3427 WEST TOUHY AVE,LINCOLNWOOD,IL,60712,,(847) 324-7770,94.0,5.0,1.0,96.0,93.0,6.0,1.0,96.0,78.0,18.0,4.0,91.0,76.0,20.0,4.0,90.0,,1493.0,504.0,34.0,01/01/2023,12/31/2023
14C0001059,ROCKFORD GASTROENTEROLOGY ASSOCIATES LTD,401 ROXBURY RD,ROCKFORD,IL,61107,,(815) 484-7930,99.0,1.0,0.0,99.0,86.0,11.0,3.0,91.0,90.0,9.0,1.0,96.0,90.0,8.0,2.0,96.0,,1810.0,353.0,20.0,01/01/2023,12/31/2023
14C0001074,EFFINGHAM SURGICAL PARTNERS LLC,904 W. TEMPLE AVE.,EFFINGHAM,IL,62401,,(217) 342-1234,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,95.0,4.0,1.0,98.0,92.0,8.0,0.0,97.0,,974.0,417.0,43.0,01/01/2023,12/31/2023
14C0001157,PHYSICIANS SURGERY CENTER AT GOOD SAMARITAN LLC,"2 GOOD SAMARITAN WAY, STE. 200",MOUNT VERNON,IL,62864,,(618) 899-5703,98.0,2.0,0.0,99.0,91.0,8.0,1.0,95.0,88.0,10.0,2.0,95.0,79.0,19.0,2.0,92.0,,1127.0,372.0,33.0,01/01/2023,12/31/2023
14C0001172,SILVER CROSS AMBULATORY SURGERY CENTER LLC DBA SILVER CROSS SURGERY CENTER,1003 PAWLAK PARKWAY,NEW LENOX,IL,60451,,(815) 717-1740,98.0,1.0,1.0,99.0,93.0,6.0,1.0,96.0,93.0,6.0,1.0,97.0,90.0,9.0,1.0,96.0,,1299.0,445.0,34.0,01/01/2023,12/31/2023
15C0001158,TERRE HAUTE SURGICAL CENTER LLC,227 EAST MCCALLISTER DR,TERRE HAUTE,IN,47802,,(812) 234-4315,,,,,,,,,,,,,,,,,4,,,,,
15C0001169,BLOOMINGTON ASC LLC DBA INDIANA SPECIALTY SURGERY CENTER,1380 WEST ARCH HAVEN AVE,BLOOMINGTON,IN,47408,,(812) 330-1164,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,92.0,8.0,0.0,97.0,90.0,10.0,0.0,97.0,,839.0,314.0,37.0,01/01/2023,12/31/2023
15C0001174,METRO SPECIALTY SURGERY CENTER LLC,"200 MISSOURI AVE, STE. A",JEFFERSONVILLE,IN,47130,,(812) 920-0055,98.0,2.0,0.0,99.0,90.0,8.0,2.0,94.0,92.0,8.0,0.0,96.0,91.0,8.0,1.0,97.0,,1207.0,340.0,28.0,01/01/2023,12/31/2023
15C0001181,COLUMBUS SPECIALTY SURGERY CENTER LLC,2425 NORTHPARK DR. STE 20,COLUMBUS,IN,47203,,(813) 657-7800,,,,,,,,,,,,,,,,,4,,,,,
15C0001182,CARMEL SPECIALTY SURGERY CENTER,11590 NORTH MERIDIAN ST SUITE 130,CARMEL,IN,46032,,(317) 660-0260,98.0,2.0,0.0,99.0,91.0,7.0,2.0,95.0,90.0,10.0,0.0,96.0,89.0,10.0,1.0,96.0,,1260.0,413.0,33.0,01/01/2023,12/31/2023
15C0001184,MUNSTER SPECIALTY SURGERY CENTER,9200 CALUMET AVE SUITE S100,MUNSTER,IN,46321,,(219) 595-0789,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,88.0,11.0,1.0,95.0,87.0,12.0,1.0,95.0,,847.0,268.0,32.0,01/01/2023,12/31/2023
15C0001186,MIDWEST SPECIALTY SURGERY CENTER LLC,6920 GATWICK DR STE 100,INDIANAPOLIS,IN,46241,,(317) 821-0000,99.0,1.0,0.0,99.0,92.0,7.0,1.0,95.0,92.0,7.0,1.0,97.0,95.0,4.0,1.0,98.0,,657.0,342.0,52.0,01/01/2023,12/31/2023
15C0001188,NORTHWEST REGIONAL SURGERY CENTER LLC,"8900 BROADWAY, SUITE 100W",MERRILLVILLE,IN,46410,,(219) 576-6260,98.0,2.0,0.0,99.0,90.0,8.0,2.0,94.0,90.0,8.0,2.0,95.0,85.0,13.0,2.0,94.0,,1134.0,383.0,34.0,01/01/2023,12/31/2023
15C0001190,ADVANCED REGIONAL SURGERY CENTER LLC,"360 MISSOURI AVE, 19A, SUITE 102",JEFFERSONVILLE,IN,47130,,(817) 722-1480,98.0,2.0,0.0,99.0,91.0,8.0,1.0,95.0,86.0,12.0,2.0,94.0,83.0,15.0,2.0,94.0,,1495.0,357.0,24.0,01/01/2023,12/31/2023
15C0001202,GREAT LAKES SURGICAL SUITES LLC DBA GREAT LAKES SURGICAL SUITES,9200 CALUMET AVE SUITE N500,MUNSTER,IN,46321,,(219) 513-9955,94.0,6.0,0.0,97.0,89.0,9.0,2.0,94.0,83.0,14.0,3.0,93.0,79.0,17.0,4.0,91.0,,874.0,290.0,33.0,01/01/2023,12/31/2023
15C0001212,SOUTH SUBURBAN SURGICAL SUITES,9200 CALUMET AVENUE SUITE E-100,MUNSTER,IN,46321,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
15C0001214,FRANCISCAN LAKESHORE ASC LLC,12800 MISSISSIPPI PARKWAY PARVILION C,CROWN POINT,IN,46307,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
15C0001218,LANDMARK SURGICAL SUITES LLC,2990 GOTTBRATH PARKWAY,JEFFERSONVILLE,IN,47130,,(502) 553-4999,,,,,,,,,,,,,,,,,4,,,,,
16C0001034,MERCY SURGERY CENTER LLC,1195 BOYSON RD SUITE 3,HIAWATHA,IA,52233,,(319) 369-4764,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,91.0,8.0,1.0,96.0,88.0,11.0,1.0,95.0,,1425.0,539.0,38.0,01/01/2023,12/31/2023
17C0001054,SHAWNEE MISSION SURGERY CENTER LLC,"9301 W. 74TH ST., STE. 300",SHAWNEE MISSION,KS,66204,,(913) 632-9330,,,,,,,,,,,,,,,,,4,,,,,
17C0001082,SHAWNEE MISSION PRAIRIE STAR SURGERY CENTER LLC,"23401 PRAIRIE STAR PARKWAY, STE. B200",LENEXA,KS,66227,,(913) 676-8556,,,,,,,,,,,,,,,,,4,,,,,
17C0001083,EPIC SURGERY CENTER,11261 NALL AVE SUITE 200,LEAWOOD,KS,66211,,(913) 671-3290,98.0,2.0,0.0,99.0,89.0,9.0,2.0,93.0,91.0,8.0,1.0,96.0,86.0,13.0,1.0,95.0,,898.0,332.0,37.0,01/01/2023,12/31/2023
17C0001103,SAINT LUKES SOUTH PAIN MANAGEMENT CENTER LLC,7651 WEST 159TH STREET,OVERLAND PARK,KS,66223,,(913) 323-9060,97.0,3.0,0.0,98.0,81.0,16.0,3.0,89.0,88.0,9.0,3.0,95.0,87.0,11.0,2.0,94.0,,1068.0,389.0,36.0,01/01/2023,12/31/2023
19C0001010,EYE CARE SURGERY CENTER INC,10423 OLD HAMMOND HWY,BATON ROUGE,LA,70816,,(225) 932-0070,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,87.0,10.0,3.0,95.0,89.0,9.0,2.0,96.0,,1664.0,420.0,26.0,01/01/2023,12/31/2023
19C0001053,METAIRIE OPHTHALMOLOGY ASC LLC,3900 VETERANS BLVD. #100,METAIRIE,LA,70002,,(504) 455-1550,96.0,3.0,1.0,98.0,91.0,7.0,2.0,95.0,84.0,13.0,3.0,94.0,88.0,10.0,2.0,95.0,,1472.0,364.0,25.0,01/01/2023,12/31/2023
19C0001085,LAKE AMBULATORY SURGERY CTR,7145 PERKINS RD,BATON ROUGE,LA,70808,,(225) 408-5548,97.0,2.0,1.0,98.0,91.0,7.0,2.0,95.0,87.0,11.0,2.0,95.0,88.0,11.0,1.0,96.0,2,1102.0,270.0,25.0,01/01/2023,12/31/2023
19C0001109,CHRISTUS CABRINI SURGERY CENTER LLC,3436 MASONIC DR.,ALEXANDRIA,LA,71301,,(318) 427-6500,99.0,1.0,0.0,99.0,96.0,3.0,1.0,98.0,95.0,4.0,1.0,97.0,91.0,7.0,2.0,96.0,,1234.0,393.0,32.0,01/01/2023,12/31/2023
19C0001129,ADVANCED SURGERY CENTER OF METAIRIE LLC,720 VETERANS MEMORIAL BLVD SUITE 100,METAIRIE,LA,70005,,(504) 293-4953,,,,,,,,,,,,,,,,,4,,,,,
19C0001130,ADVANCED SURGERY CENTER OF NORTHERN LOUISIANA LLC,1601 LOUISVILLE AVE,MONROE,LA,71201,,(318) 998-5555,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,92.0,7.0,1.0,96.0,91.0,9.0,0.0,97.0,,1313.0,391.0,30.0,01/01/2023,12/31/2023
19C0001133,OIL CENTER SURGICAL PLAZA,1000 WEST PINHOOK,LAFAYETTE,LA,70503,,(337) 571-0600,99.0,1.0,0.0,99.0,96.0,3.0,1.0,98.0,93.0,6.0,1.0,97.0,92.0,7.0,1.0,97.0,,935.0,368.0,39.0,01/01/2023,12/31/2023
20C0001012,INTERMED PA DBA GENERATIONS,84 MARGINAL WAY SUITE 1000,PORTLAND,ME,4101,,(207) 347-2898,98.0,2.0,0.0,99.0,94.0,5.0,1.0,96.0,94.0,5.0,1.0,97.0,90.0,9.0,1.0,96.0,,783.0,244.0,31.0,01/01/2023,12/31/2023
21C0001043,KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC.,10810 CONNECTICUT AVE,KENSINGTON,MD,20895,,(301) 816-7284,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,91.0,7.0,2.0,96.0,88.0,8.0,4.0,94.0,,2138.0,794.0,37.0,01/01/2023,12/31/2023
21C0001063,CLINICAL ASSOCIATES PA DBA CLINICAL ASSOCIATES ASC,515 FAIRMOUNT AVE SUITE 100A,TOWSON,MD,21286,,(410) 494-1315,95.0,5.0,0.0,98.0,89.0,10.0,1.0,94.0,80.0,16.0,4.0,93.0,79.0,18.0,3.0,92.0,2;3,1245.0,82.0,7.0,01/01/2023,12/31/2023
21C0001082,SUMMIT AMBULATORY SURGICAL CENTER LLC,"12435 PARK POTOMAC AVENUE, SUITE 410",ROCKVILLE,MD,20854,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001142,COLUMBIA UROLOGICAL SURGICAL CENTER LLC,"10710 CHARTER DR, STE 140",COLUMBIA,MD,21044,,(410) 772-7019,,,,,,,,,,,,,,,,,4,,,,,
21C0001145,JOHNS HOPKINS SURGERY CENTER SERIES DBA LUTHERVILLE SURGERY CENTER,10755 FALLS ROAD SUITE 110 B,LUTHERVILLE,MD,21093,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001152,SUMMIT AMBULATORY SURGICAL CENTER LLC,"6820 HOSPITAL DR., # 200",BALTIMORE,MD,21237,,(410) 391-6131,,,,,,,,,,,,,,,,,4,,,,,
21C0001168,SUMMIT AMBULATORY SURGICAL CENTER LLC,"3407 WILKENS AVE., # 200",BALTIMORE,MD,21229,,(410) 644-0929,,,,,,,,,,,,,,,,,4,,,,,
21C0001190,SUMMIT AMBULATORY SURGICAL CENTER LLC,"21 CROSSROADS DR., # 450",OWINGS MILLS,MD,21117,,(410) 581-8140,,,,,,,,,,,,,,,,,4,,,,,
21C0001247,SUMMIT AMBULATORY SURGICAL CENTER LLC,"6535 N. CHARLES ST., # 625",BALTIMORE,MD,21204,,(410) 825-5454,,,,,,,,,,,,,,,,,4,,,,,
21C0001281,SURGERY CENTER OF CHEVY CHASE,"5530 WISCONSIN AVE, SUITE 1620",CHEVY CHASE,MD,20815,,(301) 718-9800,96.0,4.0,0.0,98.0,88.0,10.0,2.0,93.0,83.0,15.0,2.0,93.0,82.0,16.0,2.0,93.0,,2585.0,570.0,22.0,01/01/2023,12/31/2023
21C0001297,SUMMIT AMBULATORY SURGICAL CENTER LLC,"3333 N. CALVERT ST., # 600",BALTIMORE,MD,21218,,(410) 467-7665,,,,,,,,,,,,,,,,,4,,,,,
21C0001351,JOHNS HOPKINS SCS,6420 ROCKLEDGE DR SUITE 2100,BETHESDA,MD,20817,,(443) 442-2700,,,,,,,,,,,,,,,,,4,,,,,
21C0001362,SUMMIT AMBULATORY SURGICAL CENTER LLC,"18109 PRICE PHILIP DR., # 270",SILVER SPRING,MD,20906,,(301) 774-2525,,,,,,,,,,,,,,,,,4,,,,,
21C0001421,SUMMIT AMBULATORY SURGICAL CENTER LLC,1111 MT HERMON ROAD,SALISBURY,MD,21804,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
21C0001445,SUMMIT AMBULATORY SURGICAL CENTER LLC,"21 CROSSROADS DR., # 220",OWINGS MILLS,MD,21117,,(410) 581-1600,,,,,,,,,,,,,,,,,4,,,,,
21C0001449,RIVA ROAD SURGICAL CENTER LLC,2635 RIVA RD STE. 118,ANNAPOLIS,MD,21401,,(410) 571-9595,,,,,,,,,,,,,,,,,4,,,,,
21C0001451,JOHNS HOPKINS SURGERY CENTERS SERIES DBA WHITE MARSH SURGERY CENTER SERIES,4924 CAMPBELL BLVD SUITE 250,NOTTINGHAM,MD,21236,,(443) 442-2700,,,,,,,,,,,,,,,,,4,,,,,
21C0001461,SUMMIT AMBULATORY SURGICAL CENTER LLC,"826 WASHINGTON RD., # 215",WESTMINSTER,MD,21157,,(410) 876-1633,,,,,,,,,,,,,,,,,4,,,,,
21C0001466,UPPER BAY SURGERY CENTER LLC,360 EAST PULASKI HWY SUITE 2A,ELKTON,MD,21921,,(410) 620-3348,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,90.0,9.0,1.0,96.0,90.0,9.0,1.0,96.0,,1295.0,358.0,28.0,01/01/2023,12/31/2023
21C0001476,SURGCENTER OF GLEN BURNIE LLC,308 HOSPITAL DR SUITE 102,GLEN BURNIE,MD,21061,,(410) 760-8100,96.0,4.0,0.0,98.0,89.0,9.0,2.0,94.0,88.0,11.0,1.0,95.0,83.0,15.0,2.0,94.0,,1306.0,340.0,26.0,01/01/2023,12/31/2023
21C0001477,WESTMINSTER SURGERY CENTER,826 WASHINGTON RD STE 131,WESTMINSTER,MD,21157,,(410) 871-9440,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,95.0,4.0,1.0,97.0,89.0,11.0,0.0,96.0,,897.0,359.0,40.0,01/01/2023,12/31/2023
21C0001491,MAPLE LAWN SURGERY CENTER,7625 MAPLE LAWN BLVD STE. 110,FULTON,MD,20759,,(301) 490-5025,98.0,2.0,0.0,99.0,94.0,4.0,2.0,96.0,89.0,10.0,1.0,95.0,89.0,10.0,1.0,96.0,,1405.0,386.0,27.0,01/01/2023,12/31/2023
21C0001494,SURGCENTER OF SOUTHERN MARYLAND,9001 WOODYARD RD SUITE B,CLINTON,MD,20735,,(301) 868-4950,97.0,3.0,0.0,98.0,91.0,7.0,2.0,94.0,78.0,16.0,6.0,91.0,76.0,21.0,3.0,91.0,2,958.0,285.0,30.0,01/01/2023,12/31/2023
21C0001496,SUMMIT AMBULATORY SURGICAL CENTER LLC,"201 PLUMTREE RD.,  # 200",BEL AIR,MD,21015,,(410) 803-0089,,,,,,,,,,,,,,,,,4,,,,,
21C0001498,TIMONIUM SURGERY CENTER LLC,"1954 GREENSPRING DR, LL18",TIMONIUM,MD,21093,,(410) 560-3301,97.0,3.0,0.0,99.0,93.0,6.0,1.0,96.0,88.0,11.0,1.0,95.0,86.0,12.0,2.0,94.0,,1315.0,433.0,33.0,01/01/2023,12/31/2023
21C0001502,PRINCE FREDERICK SURGERY CENTER LLC,70 SHERRY LANE SUITE 101,PRINCE FREDERICK,MD,20678,,(443) 486-4230,,,,,,,,,,,,,,,,,4,,,,,
21C0001508,PICCARD SURGERY CENTER LLC,1330 PICCARD DR STE 102,ROCKVILLE,MD,20850,,(301) 208-7350,97.0,3.0,0.0,98.0,90.0,9.0,1.0,94.0,86.0,12.0,2.0,94.0,84.0,14.0,2.0,93.0,,1286.0,309.0,24.0,01/01/2023,12/31/2023
21C0001514,BETHESDA CHEVY CHASE SURGERY CENTER LLC DBA BETHESDA CHEVY CHASE SURGERY CENTER,6931 ARLINGTON RD SUITE E,BETHESDA,MD,20814,,(301) 968-3184,,,,,,,,,,,,,,,,,4,,,,,
21C0001519,SURGCENTER OF WHITE MARSH LLC,11605 CROSSROADS CIR,BALTIMORE,MD,21220,,(410) 344-0003,,,,,,,,,,,,,,,,,4,,,,,
21C0001524,LEONARDTOWN SURGERY CENTER LLC,"40900 MERCHANTS LANE, SUITE 200",LEONARDTOWN,MD,20650,,(301) 690-2203,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,92.0,8.0,0.0,96.0,90.0,9.0,1.0,96.0,,1199.0,332.0,28.0,01/01/2023,12/31/2023
21C0001525,HAGERSTOWN SURGERY CENTER LLC,11236 ROBINWOOD DR SUITE 201,HAGERSTOWN,MD,21742,,(240) 347-4836,98.0,2.0,0.0,99.0,89.0,9.0,2.0,94.0,86.0,12.0,2.0,95.0,85.0,13.0,2.0,94.0,,926.0,314.0,34.0,01/01/2023,12/31/2023
21C0001531,SURGCENTER OF SILVER SPRING LLC,8710 CAMERON ST STE 100,SILVER SPRING,MD,20910,,(301) 326-2921,95.0,5.0,0.0,97.0,87.0,10.0,3.0,92.0,86.0,11.0,3.0,93.0,80.0,17.0,3.0,92.0,,743.0,142.0,19.0,01/01/2023,12/31/2023
21C0001538,ADVANCED SURGERY CENTER OF BETHESDA LLC,6430 ROCKLEDGE DR SUITE 160,BETHESDA,MD,20817,,(301) 312-6144,95.0,4.0,1.0,97.0,88.0,10.0,2.0,93.0,75.0,20.0,5.0,90.0,70.0,26.0,4.0,88.0,,1089.0,209.0,19.0,01/01/2023,12/31/2023
21C0001539,GAITHERSBURG AMBULATORY SURGERY CENTER,655 WATKINS MILL RD,GAITHERSBURG,MD,20879,,(301) 816-6812,99.0,1.0,0.0,99.0,95.0,4.0,1.0,97.0,92.0,7.0,1.0,96.0,88.0,10.0,2.0,95.0,,3028.0,965.0,32.0,01/01/2023,12/31/2023
21C0001551,MONOCACY SURGERY CENTER LLC,4991 NEW DESIGN RD SUITE 103,FREDERICK,MD,21703,,(301) 363-5858,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,90.0,8.0,2.0,95.0,88.0,10.0,2.0,95.0,,955.0,263.0,28.0,01/01/2023,12/31/2023
21C0001556,KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC,1221 MERCANTILE LANE,LARGO,MD,20774,,(301) 618-5500,97.0,3.0,0.0,98.0,94.0,5.0,1.0,97.0,87.0,11.0,2.0,95.0,80.0,16.0,4.0,91.0,,3057.0,933.0,31.0,01/01/2023,12/31/2023
21C0001560,SOUTH BALTIMORE COUNTY ASC LBN KAISER FOUNDATION HEALTH PLAN OF THE MID-ATLANTIC STATES INC,1701 TWIN SPRINGS RD,HALETHORPE,MD,21227,,(301) 816-2424,96.0,3.0,1.0,97.0,93.0,6.0,1.0,96.0,89.0,9.0,2.0,95.0,85.0,12.0,3.0,93.0,,2339.0,713.0,30.0,01/01/2023,12/31/2023
21C0001562,SURGICAL SPECIALTY CENTER OF MID ATLANTIC LLC,6430 ROCKLEDGE DR. SUITE 110,BETHESDA,MD,20817,,(240) 630-8241,,,,,,,,,,,,,,,,,4,,,,,
21C0001566,POTOMAC VIEW SURGERY CENTER LLC,6710 OXON HILL RD SUITE 150,OXON HILL,MD,20745,,(240) 766-2734,92.0,7.0,1.0,95.0,89.0,9.0,2.0,94.0,81.0,16.0,3.0,92.0,72.0,23.0,5.0,88.0,,772.0,153.0,20.0,01/01/2023,12/31/2023
21C0001568,POINT OF ROCKS SURGERY CENTER LLC,1901 LOCKHOUSE DR,POINT OF ROCKS,MD,21777,,(301) 874-2211,99.0,1.0,0.0,99.0,92.0,7.0,1.0,96.0,87.0,13.0,0.0,96.0,87.0,13.0,0.0,96.0,,743.0,210.0,28.0,01/01/2023,12/31/2023
